,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
74,Operations,Eduminatti,Work From Home,2 Months,12000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']",12000,1,1,0,1,1
75,Business Development (Sales),Flylines__india,Mumbai,6 Months,5000-15000,,"['Business Analysis', 'Effective Communication', 'English Proficiency (Spoken)', 'Gujarati Proficiency (Spoken)', 'MS-Excel', 'Sales', 'Salesforce', 'Sales pitch']",10000,0,1,0,0,1
76,Technical Writing - Biochemistry & Environmental Sciences,BubbleNut Wash,Bangalore,2 Months,12000-25000,1 day ago,"['Biology', 'Chemistry', 'Report Writing']",18500,0,0,0,0,1
77,Marketing,71 Tales Bar & Cafe,"Navi Mumbai, Mumbai, Thane",3 Months,10000,Today,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing', 'Video Editing']",10000,0,1,0,0,1
78,Social Media Marketing,Mergedeck Ventures Pvt Ltd,Work From Home,6 Months,4500,1 day ago,"['Digital Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",4500,1,1,0,0,1
79,Motion Graphics,Deepak Pal,Work From Home,3 Months,6000-10000,Today,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Video Editing']",8000,1,1,0,0,1
80,Video Editing/Making,Digital Amigos,Work From Home,4 Months,3000-6000,Today,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing', 'Video Making']",4500,1,1,0,0,1
81,Digital Marketing,Eduminatti,Work From Home,2 Months,8000,Today,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",8000,1,1,0,1,1
82,Graphic Design,EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,4 Months,1000-9000,Today,"['Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop']",5000,1,1,0,1,1
83,Journalism,EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,4 Months,1000-9000,Today,"['Content Writing', 'Creative Writing', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)']",5000,1,1,0,1,1
84,Graphic Design,Digital Amigos,Work From Home,3 Months,3000-6000,Today,"['Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'CorelDRAW']",4500,1,1,0,0,1
85,Subject Matter Expert (SME),LearnAsYouGo Private Limited,Work From Home,3 Months,6000-12000,Today,['Mathematics'],9000,1,1,0,1,1
86,Video Editing/Making,Eduminatti,Work From Home,2 Months,12000,Today,"['Adobe After Effects', 'Adobe Premiere Pro']",12000,1,1,0,1,1
87,Fundraising,Odisha Development Management Programme (ODMP),Work From Home,1 Week,900-20000,Today,['NOT MENTIONED'],10450,1,1,0,0,1
88,Web Development,The Affordable Organic Store,"Secunderabad, Hyderabad",4 Months,3000,Today,"['CSS', 'HTML', 'JavaScript', 'MySQL', 'Node.js', 'ReactJS']",3000,0,1,1,0,1
89,Graphic Design,Eduminatti,Work From Home,2 Months,8000,Today,"['Adobe Photoshop', 'UI & UX Design']",8000,1,1,0,1,1
90,Business Development (Sales),EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,2 Months,1000-25000,Today,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)']",13000,1,1,0,1,1
91,Stock Market Research,Goaler Web Solutions,Work From Home,1 Month,5000-10000,Today,"['Investing', 'Stock Trading']",7500,1,0,0,1,1
94,Digital Marketing,EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,4 Months,1000-9000,Today,"['Content Writing', 'Creative Writing', 'Digital Marketing', 'English Proficiency (Written)', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']",5000,1,1,0,1,1
95,Stock Market Research,One's Own FInancer,Work From Home,1 Month,5000-10000,Today,"['Financial literacy', 'Stock Trading']",7500,1,0,0,0,1
96,UI/UX Design,Eduminatti,Work From Home,2 Months,10000,Today,['NOT MENTIONED'],10000,1,1,1,1,1
97,Human Resources (HR),EmpiroLuxy Management And Digital Solutions Private Limited,Work From Home,4 Months,1000-9000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'HR Analytics', 'HR branding']",5000,1,1,0,1,1
98,Business Development (Sales),Nixio Tech,Work From Home,2 Months,4000-8000,Today,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'MS-Excel', 'Social Media Marketing']",6000,1,1,0,0,1
99,Content Writing,Deepak Pal,Work From Home,6 Months,6000-10000,Today,['Blockchain'],8000,1,1,0,0,1
100,AI Project Management,Resolute AI Software Private Limited,Work From Home,3 Months,10000-14000,Today,"['Computer Vision', 'Deep Learning', 'Effective Communication', 'Machine Learning', 'Microsoft Azure', 'MS SQL Server', 'Project Management', 'Python', 'SQL']",12000,1,0,0,0,1
101,Human Resources (HR),The Learn Cloud,Work From Home,6 Months,2000-5000,Today,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']",3500,1,1,0,1,1
104,Graphic Design,DocPlus,Work From Home,6 Months,10000,Today,"['Adobe Illustrator', 'Figma', 'UI & UX Design']",10000,1,1,0,0,1
105,Spark Augmented Reality(AR) Development (Instagram Filter),ThumbStack,Work From Home,3 Months,5000-10000,Today,['NOT MENTIONED'],7500,1,0,0,0,1
106,Social Media Marketing,Yardstick,Work From Home,3 Months,5000-10000,Today,"['Canva', 'Content Writing', 'Copywriting', 'Creative Writing', 'Social Media Marketing']",7500,1,1,0,0,1
107,Online Marketing,Tomo Club,Work From Home,6 Months,10000,Today,"['Content Marketing', 'Content Writing', 'Event Management', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",10000,1,1,0,0,1
108,Social Media Marketing,Eduminatti,Work From Home,2 Months,10000,Today,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing']",10000,1,1,0,1,1
109,Volunteering,Pawzz,Work From Home,2 Weeks,1000-10000,Today,"['Content Writing', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Marketing', 'Sales', 'Social Media Marketing', 'Time Management']",5500,1,1,0,1,1
110,PowerBI Development,Resolute AI Software Private Limited,Work From Home,3 Months,12000-15000,Today,"['Data Analysis', 'Power BI', 'SharePoint']",13500,1,0,0,0,1
111,Business Development (Sales),FileSure India Private Limited,Work From Home,3 Months,10000,Today,"['Digital Marketing', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",10000,1,1,0,0,1
